time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001870,0.1329,-0.0468,-0.1572,0.211
0.002175,0.0707,-0.0626,-0.3932,0.404
0.007243,-0.0101,-0.0618,-0.5226,0.526
0.011123,-0.0675,-0.0866,-0.5655,0.576
0.016122,-0.1263,-0.1030,-0.5749,0.598
0.022228,-0.2057,-0.0537,-0.5891,0.626
0.028748,-0.2674,-0.0014,-0.5557,0.617
0.032804,-0.2784,0.0201,-0.4705,0.547
0.036075,-0.2099,0.0010,-0.2957,0.363
0.041593,-0.1432,0.0163,-0.0845,0.167
0.046718,-0.0968,0.0270,0.0442,0.110
0.051679,-0.0749,0.0560,0.1480,0.175
0.057434,-0.0624,0.0551,0.2130,0.229
0.061946,-0.0402,0.0623,0.2205,0.233
0.067889,-0.0175,0.0439,0.2517,0.256
0.075882,0.0247,0.0146,0.2352,0.237
0.083510,0.0577,0.0032,0.1904,0.199
0.084053,0.0865,0.0098,0.1317,0.158
0.087743,0.1108,-0.0174,0.0735,0.134
0.091969,0.1260,0.0030,-0.0080,0.126
0.097364,0.1513,-0.0193,-0.0649,0.166
0.102110,0.1723,-0.0457,-0.1167,0.213
0.110414,0.1795,-0.0379,-0.1395,0.230
0.110770,0.1684,-0.0484,-0.1668,0.242
0.115543,0.1629,-0.0341,-0.1654,0.235
0.126258,0.1387,-0.0383,-0.0785,0.164
0.129650,0.1388,-0.0229,-0.0540,0.151
0.134678,0.1250,-0.0120,-0.0060,0.126
0.137242,0.1210,-0.0061,0.0511,0.131
0.141989,0.1122,0.0187,0.0792,0.139
0.149986,0.0987,0.0382,0.0786,0.132
0.152386,0.0996,0.0287,0.0495,0.115
0.156671,0.0910,0.0236,0.0443,0.104
0.161539,0.0919,0.0372,0.0345,0.105
0.166156,0.0734,0.0504,0.0200,0.091
0.176670,0.0739,0.0347,-0.0276,0.086
0.178476,0.0979,0.0191,-0.0748,0.125
0.183160,0.0979,0.0037,-0.1170,0.153
0.186614,0.1121,-0.0066,-0.1350,0.176
0.194427,0.1021,0.0023,-0.1528,0.184
0.200247,0.0923,-0.0076,-0.1610,0.186
0.201371,0.0826,-0.0315,-0.1692,0.191
0.206214,0.0778,-0.0169,-0.1820,0.199
0.212271,0.0732,-0.0215,-0.1614,0.179
0.216234,0.0449,-0.0211,-0.0841,0.098
0.226159,0.0310,-0.0208,-0.0216,0.043
0.232922,0.0313,-0.0207,-0.0356,0.052
0.233335,0.0410,-0.0255,-0.0163,0.051
0.237156,0.0364,-0.0257,-0.0019,0.045
0.241640,0.0414,-0.0261,0.0266,0.056
0.247057,0.0415,-0.0030,0.0312,0.052
0.251962,0.0368,-0.0088,0.0262,0.046
0.256634,0.0419,0.0044,-0.0168,0.045
