time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002778,-0.0146,0.0417,0.1085,0.117
0.003096,-0.0195,0.0132,0.1820,0.184
0.009982,-0.0434,-0.0149,0.1546,0.161
0.010644,-0.1006,-0.0190,0.1364,0.171
0.016141,-0.1240,-0.0040,0.0754,0.145
0.021797,-0.0950,-0.0082,0.0481,0.107
0.026455,-0.0852,-0.0222,0.0354,0.095
0.031930,-0.0659,-0.0031,0.0088,0.067
0.036797,-0.0183,-0.0132,0.0161,0.028
0.042546,0.0385,-0.0187,0.0332,0.054
0.046551,0.0426,-0.0338,0.0312,0.063
0.050939,0.0609,-0.0251,0.0388,0.076
0.058644,0.0791,-0.0354,0.0273,0.091
0.061229,0.0686,-0.0267,0.0636,0.097
0.066251,0.0724,-0.0274,0.0947,0.122
0.071553,0.1048,-0.0565,-0.0026,0.119
0.076800,0.1036,-0.0567,-0.0705,0.138
0.085100,0.0977,-0.0567,-0.0523,0.125
0.088045,0.0729,-0.0376,-0.0819,0.116
0.092937,0.0340,-0.0330,-0.0921,0.104
0.096752,-0.0046,-0.0237,-0.1830,0.185
0.100967,0.0190,-0.0287,-0.2395,0.242
0.106244,0.0282,-0.0051,-0.1623,0.165
0.111215,0.0231,-0.0100,-0.1140,0.117
0.116142,0.0085,0.0138,-0.0851,0.087
0.121962,-0.0154,-0.0006,-0.0278,0.032
0.127061,-0.0296,0.0279,-0.0139,0.043
0.133733,-0.0342,0.0373,-0.0190,0.054
0.136609,-0.0530,0.0559,-0.0147,0.078
0.142014,-0.0622,0.0363,0.0276,0.077
0.146801,-0.0713,-0.0070,0.0268,0.077
0.151707,-0.0756,0.0022,-0.0024,0.076
0.156926,-0.0750,0.0021,-0.0313,0.081
0.161086,-0.0697,-0.0219,-0.0218,0.076
0.167161,-0.0597,-0.0172,0.0209,0.066
0.171293,-0.0164,-0.0317,0.0444,0.057
0.182078,0.0359,-0.0221,0.0772,0.088
0.182564,0.0546,-0.0458,0.0811,0.108
0.186054,0.0493,-0.0503,-0.0148,0.072
0.192701,0.0631,-0.0072,-0.0342,0.072
0.197463,0.0719,0.0116,0.0177,0.075
0.201532,0.0760,0.0253,0.0691,0.106
0.206420,0.0752,0.0297,0.0914,0.122
0.211698,0.0649,0.0055,0.0708,0.096
0.216934,0.0404,0.0244,0.0359,0.059
0.221658,0.0113,0.0289,-0.0320,0.045
0.226258,0.0300,0.0524,-0.0707,0.093
0.234608,0.0296,0.0759,-0.0709,0.108
0.237996,0.0293,0.0471,-0.0233,0.060
0.242093,0.0148,0.0184,0.0288,0.037
0.246767,0.0194,0.0185,0.0378,0.046
0.251756,-0.0141,0.0185,0.0230,0.033
0.256540,-0.0378,0.0089,-0.0439,0.059
0.261750,-0.0659,0.0087,-0.0766,0.101
0.266959,-0.0558,-0.0011,-0.0472,0.073
0.271840,-0.0458,-0.0013,-0.0035,0.046
0.277053,-0.0263,-0.0350,0.0210,0.049
0.281248,-0.0069,-0.0256,0.0169,0.031
0.287549,0.0075,0.0217,0.0032,0.023
0.293035,0.0076,0.0069,0.0466,0.048
0.297053,0.0361,0.0017,0.0704,0.079
0.301649,0.0263,0.0251,0.0701,0.079
0.306670,0.0356,0.0197,0.0601,0.073
0.311947,0.0353,0.0240,0.0215,0.048
0.317275,0.0302,0.0235,-0.0453,0.059
0.322246,0.0347,0.0325,-0.0782,0.091
0.327033,0.0582,0.0035,-0.0347,0.068
0.334284,0.0910,-0.0252,-0.0010,0.094
0.338035,0.0855,-0.0155,-0.0102,0.087
0.342338,0.0849,-0.0201,-0.0476,0.099
0.347254,0.0843,-0.0387,-0.0228,0.096
0.352232,0.0648,-0.0428,0.0304,0.083
0.357112,0.0501,-0.0421,0.0594,0.088
0.362688,0.0119,-0.0463,0.0550,0.073
0.368326,0.0024,-0.0409,0.0554,0.069
0.372356,-0.0164,-0.0498,0.0986,0.112
0.379933,-0.0161,-0.0541,0.1270,0.139
