time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003696,-0.1160,0.0068,0.3256,0.346
0.003994,-0.0297,0.0348,0.2618,0.266
0.008562,0.0369,0.0625,0.1178,0.138
0.012476,0.0459,0.0093,-0.0008,0.047
0.018467,0.0597,-0.0293,-0.0850,0.108
0.020803,0.0400,-0.0388,-0.2632,0.269
0.027263,-0.0127,-0.0197,-0.4109,0.412
0.030917,-0.0317,-0.0292,-0.3383,0.341
0.036514,-0.0268,-0.0672,-0.2137,0.226
0.041372,0.0019,-0.1047,-0.1041,0.148
0.046540,-0.0124,-0.1039,-0.0235,0.107
0.051208,-0.0218,-0.1125,0.0234,0.117
0.058501,0.0021,-0.0925,0.0415,0.101
0.062036,-0.0027,-0.0966,0.0644,0.116
0.066835,0.0305,-0.0768,0.1393,0.162
0.070754,0.0065,-0.0999,0.1424,0.174
0.076392,-0.0174,-0.0944,0.1120,0.148
0.081756,-0.0553,-0.0985,0.0341,0.118
0.087971,-0.0644,-0.0693,0.0135,0.096
0.091630,-0.0306,-0.0690,-0.0261,0.080
0.096108,-0.0352,-0.0875,-0.0939,0.133
0.101680,-0.0017,-0.0726,-0.1134,0.135
0.106453,-0.0065,-0.0623,-0.0993,0.117
0.111313,-0.0065,-0.0569,-0.1231,0.136
0.116760,0.0221,-0.0467,-0.1556,0.164
0.120982,0.0219,-0.0508,-0.0830,0.100
0.127161,0.0217,-0.0216,0.0032,0.031
0.130882,0.0263,-0.0497,0.0456,0.072
0.136852,0.0023,-0.0349,0.0210,0.041
0.141750,-0.0120,-0.0202,-0.0272,0.036
0.150562,0.0213,-0.0295,-0.0228,0.043
0.152852,0.0544,-0.0577,0.0198,0.082
0.159238,0.0539,-0.0524,0.0954,0.121
0.161800,0.0487,-0.0568,0.1656,0.182
0.170511,0.0388,-0.0612,0.1827,0.197
0.175733,0.0527,-0.0608,0.1422,0.163
0.176077,0.0759,-0.0652,0.0494,0.112
0.180793,0.0657,-0.0553,0.0144,0.087
0.189174,0.0509,-0.0406,-0.0107,0.066
0.191762,0.0266,-0.0354,-0.0405,0.060
0.196692,-0.0069,-0.0348,-0.1174,0.123
0.201392,-0.0449,-0.0058,-0.1508,0.157
0.206956,-0.0446,-0.0054,-0.1883,0.194
0.211591,-0.0680,-0.0288,-0.1586,0.175
0.216197,-0.0721,-0.0236,-0.0719,0.105
0.221675,-0.0810,-0.0231,-0.0143,0.085
0.226756,-0.1041,0.0151,0.0238,0.108
0.233259,-0.0795,-0.0038,0.0379,0.088
0.242881,-0.1311,-0.0132,0.0473,0.140
0.243252,-0.0920,-0.0228,0.0663,0.116
0.246681,-0.0342,-0.0607,0.0896,0.114
0.254296,-0.0244,-0.0510,0.0697,0.090
0.256635,0.0185,-0.0652,0.0736,0.100
0.261455,0.0421,-0.0459,0.0488,0.079
0.267145,0.0798,-0.0744,0.0052,0.109
0.271184,0.0506,-0.0834,-0.0095,0.098
0.276452,0.0263,-0.0496,0.0420,0.070
0.281407,0.0688,-0.0446,-0.0162,0.084
0.287848,0.0825,-0.0395,-0.0596,0.109
0.291843,0.0818,-0.0393,-0.1497,0.175
0.297000,0.0478,-0.0343,-0.1910,0.200
0.300950,0.0047,-0.0388,-0.1320,0.138
0.306322,-0.0096,0.0043,-0.0355,0.037
0.312271,0.0000,-0.0100,0.0221,0.024
0.316235,0.0000,-0.0100,0.0508,0.052
0.321167,-0.0094,-0.0148,0.0888,0.091
0.327389,0.0097,0.0136,0.1076,0.109
0.333666,0.0191,-0.0248,0.1356,0.139
0.336461,0.0142,-0.0343,0.1492,0.154
0.342434,-0.0382,-0.0009,0.1151,0.121
0.346130,-0.0521,0.0274,0.1190,0.133
0.352304,-0.0232,-0.0062,0.1082,0.111
0.357144,-0.0135,-0.0158,0.0828,0.085
0.361455,-0.0134,0.0127,0.0528,0.056
0.366670,-0.0039,0.0077,-0.0198,0.022
0.371693,0.0246,0.0313,-0.0729,0.083
0.376793,0.0529,0.0167,-0.0874,0.104
0.380929,0.0476,0.0023,-0.0731,0.087
0.386976,0.0282,0.0119,-0.0587,0.066
0.391435,-0.0100,0.0310,-0.0869,0.093
0.396667,-0.0432,0.0308,-0.1572,0.166
0.400969,-0.0428,0.0165,-0.1266,0.135
0.406856,-0.0471,0.0120,-0.0818,0.095
0.412183,-0.0277,0.0455,-0.0847,0.100
0.417036,-0.0036,0.0503,-0.0921,0.105
0.422499,0.0250,0.0312,-0.0800,0.089
0.427041,0.0059,0.0077,-0.0395,0.041
0.433040,-0.0273,0.0461,0.0148,0.056
0.436772,-0.0128,0.0366,0.0064,0.039
0.441886,0.0159,0.0365,-0.0165,0.043
0.446510,0.0538,0.0172,-0.0061,0.057
0.451991,0.0296,0.0360,0.0183,0.050
0.457866,0.0294,0.0022,0.0708,0.077
0.466129,0.0291,-0.0122,0.0562,0.064
0.467380,0.0147,-0.0314,0.0373,0.051
0.472418,0.0051,-0.0504,0.0187,0.054
0.476901,0.0146,-0.0502,-0.0231,0.057
0.481868,-0.0092,-0.0595,-0.0781,0.099
0.489190,-0.0186,-0.0639,-0.1275,0.144
0.492816,-0.0040,-0.0731,-0.1144,0.136
0.499822,0.0009,-0.0631,-0.0682,0.093
0.502144,-0.0133,-0.0390,-0.0368,0.055
0.507538,0.0059,-0.0627,-0.0108,0.064
0.511648,0.0059,-0.0814,0.0243,0.085
0.516893,-0.0178,-0.0952,0.0635,0.116
0.521282,-0.0319,-0.0851,0.0832,0.123
0.526417,-0.0411,-0.0608,0.0743,0.104
0.531264,-0.0264,-0.0747,0.0656,0.103
0.537008,0.0024,-0.0646,0.0809,0.104
0.541985,0.0262,-0.0500,0.0772,0.096
0.550845,0.0498,-0.0450,0.0783,0.103
0.551536,0.0637,-0.0353,0.0270,0.078
0.556812,0.0822,-0.0019,-0.0384,0.091
0.562079,0.0388,-0.0116,-0.0891,0.098
0.567576,-0.0612,0.0498,-0.1015,0.129
0.572359,0.0201,0.0299,-0.1424,0.147
0.577002,0.0484,0.0482,-0.1496,0.164
0.582048,0.0528,0.0378,-0.1043,0.123
0.587915,0.0097,0.0417,-0.0593,0.073
0.592209,0.0286,0.0219,-0.0433,0.056
0.599541,0.0427,0.0260,-0.0274,0.057
0.602664,0.0091,0.0158,-0.0449,0.049
0.607706,-0.0194,0.0294,-0.0243,0.043
0.612339,-0.0477,0.0429,-0.0512,0.082
0.618495,-0.0947,0.0373,-0.1438,0.176
0.625538,-0.1556,0.0411,-0.1496,0.220
0.628520,-0.1352,-0.0122,-0.1218,0.182
0.632426,-0.1008,-0.0224,-0.1275,0.164
0.637082,-0.0523,-0.0563,-0.0524,0.093
0.642401,0.0052,-0.0517,0.0078,0.053
0.651403,0.0528,-0.0376,0.0198,0.068
0.652337,0.0809,-0.0521,0.0319,0.101
0.657043,0.0803,-0.0379,0.0724,0.115
0.665777,0.0655,-0.0430,0.1457,0.165
0.667402,0.0318,-0.0433,0.2278,0.234
0.672922,0.0316,-0.0484,0.2850,0.291
0.677676,0.0029,-0.0536,0.3034,0.308
0.682093,-0.0304,-0.0492,0.2976,0.303
0.687463,-0.0349,-0.0687,0.2914,0.301
0.692910,0.0225,-0.0737,0.2422,0.254
0.698006,0.0698,-0.0783,0.1552,0.187
0.702071,0.0360,0.0312,0.1067,0.117
0.708237,0.0214,0.0307,0.1106,0.117
0.712885,-0.0073,0.0064,0.0242,0.026
0.718098,-0.0310,0.0107,-0.1041,0.109
0.725416,-0.0450,0.0243,-0.1602,0.168
0.728219,-0.0066,0.0140,-0.1444,0.145
0.733179,0.0600,0.0085,-0.0715,0.094
0.737961,0.0927,0.0221,-0.0321,0.101
0.743306,0.1063,0.0499,-0.0685,0.136
0.751863,0.1007,0.0539,-0.1087,0.158
0.753743,0.0904,0.0390,-0.1054,0.144
0.757491,0.0660,0.0292,-0.0398,0.082
0.764846,0.0703,0.0386,0.0542,0.097
0.767605,0.0604,0.0100,0.1048,0.121
0.771813,0.0553,0.0435,0.1076,0.129
0.777742,0.0739,0.0340,0.1481,0.169
0.781904,0.0734,0.0057,0.1500,0.167
0.788143,0.0587,0.0155,0.1233,0.137
0.792740,0.0583,0.0394,0.1062,0.127
0.800080,0.0342,0.0108,0.1082,0.114
0.802539,0.0245,-0.0033,0.1338,0.136
0.807695,-0.0042,0.0016,0.0970,0.097
0.812272,-0.0136,-0.0221,0.0506,0.057
0.817821,-0.0134,-0.0078,0.0186,0.024
0.823116,-0.0465,0.0064,-0.0132,0.049
0.829279,-0.1031,0.0344,-0.0448,0.118
0.832532,-0.1402,0.0382,-0.0619,0.158
0.837683,-0.1437,0.0373,-0.0218,0.150
0.841944,-0.1425,0.0410,0.0324,0.152
0.851477,-0.1365,0.0495,0.0720,0.162
0.853814,-0.1258,0.0532,0.1257,0.186
0.860446,-0.1342,0.0283,0.1602,0.211
0.862573,-0.1283,0.0511,0.1754,0.223
0.868108,-0.1082,0.0452,0.1713,0.208
0.874564,-0.0502,0.0204,0.1622,0.171
0.877980,-0.0307,0.0004,0.1387,0.142
0.882127,0.0028,0.0044,0.1298,0.130
0.892925,0.0076,-0.0203,0.1020,0.104
0.893505,0.0218,-0.0162,0.1453,0.148
0.899992,0.0311,-0.0359,0.1499,0.157
0.904180,-0.0119,-0.0127,0.0920,0.094
0.909977,-0.0593,-0.0516,0.0200,0.081
0.912496,-0.1016,-0.0425,-0.0329,0.115
0.919089,-0.1341,-0.0524,-0.0572,0.155
0.922780,-0.1568,-0.0145,-0.0814,0.177
0.930559,-0.1507,-0.0339,-0.1624,0.224
0.937659,-0.1305,-0.0054,-0.1712,0.215
0.949929,-0.1104,0.0276,-0.1228,0.167
0.950497,-0.0905,0.0224,-0.0464,0.104
0.950691,-0.0756,0.0552,-0.0181,0.095
0.952812,-0.0417,0.0356,-0.0043,0.055
0.958312,-0.0129,0.0066,-0.0048,0.015
0.962466,0.0347,0.0017,-0.0053,0.035
0.967076,0.0629,0.0301,-0.0440,0.082
0.974058,0.0766,0.0108,-0.0589,0.097
0.977635,0.0807,-0.0081,-0.0499,0.095
0.981923,0.0515,-0.0032,-0.0219,0.056
0.990274,0.0178,0.0016,-0.0512,0.054
0.991887,0.0176,0.0253,-0.0848,0.090
0.996913,0.0174,0.0155,-0.1228,0.125
1.002053,0.0220,0.0056,-0.1128,0.115
1.007027,0.0123,-0.0090,-0.0934,0.095
1.012257,0.0312,-0.0186,-0.0647,0.074
1.017650,0.0452,-0.0186,-0.0410,0.064
1.023372,0.0258,-0.0234,-0.0604,0.070
1.027880,-0.0172,-0.0139,-0.1129,0.115
1.031821,-0.0314,0.0192,-0.1456,0.150
1.037608,-0.0169,0.0092,-0.1161,0.118
1.042852,0.0308,-0.0005,-0.0964,0.101
1.050589,0.0400,0.0088,-0.1100,0.117
1.054471,0.0349,0.0230,-0.1187,0.126
1.059296,0.0204,0.0275,-0.1225,0.127
1.065046,0.0059,0.0225,-0.0835,0.087
1.067644,-0.0084,0.0224,-0.0827,0.086
1.072438,0.0060,0.0080,-0.1388,0.139
1.078469,0.0202,-0.0016,-0.2083,0.209
1.082540,0.0581,-0.0017,-0.1771,0.186
1.087962,0.0814,0.0220,-0.1223,0.149
1.092779,0.0855,-0.0210,-0.1485,0.173
1.097696,0.0183,0.0030,-0.0934,0.095
1.103519,-0.0246,0.0409,-0.1243,0.133
1.107945,-0.0528,0.0594,-0.1641,0.182
1.113682,-0.0143,0.0635,-0.1321,0.147
1.118829,0.0191,0.0294,-0.1145,0.120
1.124437,0.0000,0.0337,-0.1064,0.112
1.128963,-0.0094,0.0330,-0.0745,0.082
1.132950,-0.0188,0.0275,-0.0429,0.054
1.138044,-0.0328,0.0173,-0.0259,0.045
1.143507,-0.0182,0.0073,0.0098,0.022
1.152591,-0.0038,0.0211,0.0165,0.027
1.159030,0.0248,-0.0032,-0.0008,0.025
1.159537,0.0389,0.0157,-0.0134,0.044
1.164335,0.0291,0.0202,-0.0402,0.054
1.167404,0.0194,0.0295,-0.0336,0.049
1.172401,-0.0140,0.0293,-0.0510,0.061
1.178149,-0.0281,0.0529,-0.0585,0.084
1.182753,-0.0136,0.0478,-0.0563,0.075
1.187692,-0.0134,0.0571,-0.0349,0.068
1.192972,0.0248,0.0425,-0.0231,0.054
1.197312,0.0484,0.0280,-0.0014,0.056
1.202680,0.0766,0.0278,0.0109,0.082
1.208689,0.1093,0.0325,0.0187,0.116
1.213235,0.1512,0.0276,0.0218,0.155
