time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007230,-3.7232,-0.6951,-0.2857,3.798
0.007736,-4.0644,-0.9675,-0.9508,4.285
0.008020,-4.4765,-1.0547,-1.5562,4.855
0.008272,-4.7342,-1.0958,-2.1587,5.317
0.016787,-4.7514,-1.0860,-3.1018,5.777
0.021825,-4.5807,-0.9679,-4.0636,6.199
0.024934,-4.1890,-0.7420,-4.5945,6.262
0.029055,-3.6056,-0.4236,-4.7871,6.008
0.033634,-2.8407,-0.1860,-4.8918,5.660
0.039035,-2.0288,0.0613,-5.0395,5.433
0.044289,-1.2472,0.3177,-5.1647,5.323
0.048389,-0.9171,0.1999,-4.5611,4.657
0.054108,-0.3969,-0.2058,-4.6068,4.628
0.059520,0.0698,-0.3576,-4.7015,4.716
0.064918,0.3446,-0.4809,-4.8575,4.893
0.070036,0.5382,-0.5852,-4.7433,4.809
0.073592,0.5647,-0.5365,-4.2917,4.362
0.078704,0.5391,-0.5977,-3.5369,3.627
0.085485,0.4470,-0.5341,-2.6568,2.747
0.088609,0.1927,-0.4037,-1.8003,1.855
0.107992,-0.1377,-0.3071,-0.9104,0.971
0.108541,-0.5442,-0.2497,-0.0453,0.600
0.108770,-1.0508,-0.1504,0.7420,1.295
0.108963,-1.6382,-0.1148,1.3032,2.097
0.114574,-2.1246,-0.3005,1.5048,2.621
0.118481,-2.4808,-0.4526,1.1473,2.770
0.126188,-2.6828,-0.5128,0.6637,2.811
0.128767,-2.8597,-0.5477,0.3037,2.928
0.133375,-3.0498,-0.6388,0.0960,3.118
0.138983,-3.1864,-0.7862,-0.0562,3.282
0.145070,-3.1692,-0.9420,-0.0200,3.306
0.150497,-2.9032,-1.1105,0.1405,3.112
0.154650,-2.6139,-1.1579,0.1275,2.862
0.158564,-2.2152,-1.0557,-0.1979,2.462
0.165018,-1.7645,-0.8141,-0.7440,2.081
0.171121,-1.3720,-0.6488,-1.0123,1.824
0.173775,-0.9945,-0.6030,-0.9176,1.481
0.178718,-0.5655,-0.5333,-0.6145,0.991
0.187170,-0.1089,-0.4444,-0.5060,0.682
0.189453,0.2221,-0.3368,-0.5339,0.669
0.209151,0.4708,-0.2346,-0.7120,0.885
0.209597,0.7572,-0.2289,-0.8383,1.153
0.209776,1.1292,-0.1905,-0.8931,1.452
0.209999,1.5197,0.0056,-1.0489,1.847
0.220485,1.7038,0.1775,-1.0762,2.023
0.221057,1.9063,0.2290,-0.8944,2.118
0.227154,2.1561,0.2509,-0.7860,2.309
0.229980,2.3288,0.3194,-0.7311,2.462
0.233675,2.5775,0.2813,-0.6628,2.676
0.239556,2.7013,0.2423,-0.6049,2.779
0.245026,2.8727,0.1978,-0.7340,2.972
0.249715,2.9817,0.0620,-0.7334,3.071
0.253513,3.0239,-0.2225,-0.8463,3.148
0.263152,2.9517,-0.4448,-0.9186,3.123
0.264061,2.9711,-0.5911,-1.0842,3.217
0.272281,3.0578,-0.6849,-1.0900,3.318
0.274104,3.2067,-0.8313,-0.9423,3.444
0.279246,3.1974,-0.8054,-0.8622,3.408
0.286456,3.1880,-0.7803,-0.8690,3.395
0.288649,3.1545,-0.8041,-0.8427,3.363
0.306768,3.1066,-0.8433,-0.7307,3.301
0.307555,3.0490,-0.8740,-0.7821,3.267
0.307868,3.0201,-0.9057,-0.8191,3.258
0.310278,3.0391,-0.9047,-0.6839,3.244
0.314193,3.0056,-0.8952,-0.5052,3.176
0.318802,2.9578,-0.9104,-0.2258,3.103
0.325019,2.9293,-1.0126,0.0535,3.100
0.329739,2.9343,-1.0725,0.2462,3.134
0.336024,2.8196,-1.0372,0.3379,3.023
0.340045,2.7862,-1.0026,0.3623,2.983
0.345141,2.7050,-0.9205,0.4291,2.889
0.352712,2.6665,-0.9202,0.5952,2.883
0.355116,2.6705,-0.9578,0.6863,2.919
0.362333,2.6352,-0.7556,0.2429,2.752
0.367684,2.3747,-0.5956,-0.3358,2.471
0.371208,1.9853,-0.7222,-0.5454,2.182
0.378176,1.5964,-1.0396,-0.4194,1.951
0.380840,1.2943,-1.2369,-0.2212,1.804
0.386884,1.0931,-1.2809,-0.1043,1.687
0.389710,0.9400,-1.2483,-0.1213,1.567
0.397762,0.8257,-1.1681,-0.2044,1.445
0.404375,0.7740,-1.0693,-0.1999,1.335
0.406446,0.7658,-0.9660,-0.1032,1.237
0.409805,0.7245,-0.9015,0.0379,1.157
0.422294,0.6789,-0.8230,0.1854,1.083
0.422899,0.5237,-0.7210,0.2961,0.939
0.427749,0.3312,-0.5763,0.3421,0.748
0.429073,0.1157,-0.4176,0.4625,0.634
0.433737,-0.0414,-0.3499,0.6527,0.742
0.439649,-0.2069,-0.2389,0.9895,1.039
0.444915,-0.3952,-0.1276,1.4249,1.484
0.452253,-0.6493,-0.0113,1.7387,1.856
0.454622,-0.8831,0.1625,1.9312,2.130
