time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002186,0.6418,-0.4565,-0.0106,0.788
0.002624,0.6270,-0.3540,0.2500,0.762
0.010754,0.4839,-0.1716,0.3978,0.650
0.011142,0.3515,0.0036,0.4711,0.588
0.016154,0.2629,0.1052,0.4892,0.565
0.020866,0.3126,0.1151,0.4904,0.593
0.025624,0.4189,0.0533,0.2713,0.502
0.030327,0.3960,-0.0507,-0.0035,0.399
0.035428,0.2830,-0.0495,-0.2474,0.379
0.040670,0.1851,-0.0295,-0.4652,0.502
0.046391,0.0690,0.0232,-0.6761,0.680
0.051328,0.0014,0.0511,-0.7992,0.801
0.056200,0.0341,0.0451,-0.8494,0.851
0.061356,0.0523,0.0531,-0.7889,0.792
0.066236,0.0324,0.0416,-0.6800,0.682
0.072793,0.0174,0.0063,-0.5138,0.514
0.077504,0.0454,-0.0575,-0.3808,0.388
0.080912,0.0636,-0.0592,-0.2621,0.276
0.086163,0.1435,-0.0561,-0.1529,0.217
0.093137,0.2893,-0.0814,-0.0293,0.302
0.096078,0.2391,-0.1303,0.0463,0.276
0.101770,0.0325,-0.0839,0.0264,0.094
0.107153,-0.1201,0.0088,-0.0078,0.121
0.112216,-0.0767,-0.0233,-0.1232,0.147
0.119529,0.0660,-0.1312,-0.2189,0.264
0.121864,0.1269,-0.2663,-0.2994,0.420
0.127248,0.1065,-0.3375,-0.3644,0.508
0.131979,0.0198,-0.3027,-0.4281,0.525
0.136347,-0.1183,-0.2722,-0.4381,0.529
0.140487,-0.2458,-0.2033,-0.3859,0.501
0.146671,-0.3056,-0.1488,-0.3389,0.480
0.152294,-0.3080,-0.0995,-0.2830,0.430
0.155711,-0.3008,-0.0932,-0.1991,0.373
0.161407,-0.2700,-0.1060,-0.1586,0.331
0.168025,-0.2394,-0.1377,-0.0850,0.289
0.171774,-0.2232,-0.1358,-0.0403,0.264
0.176209,-0.2310,-0.0959,0.0230,0.251
0.184758,-0.1960,-0.0851,0.0661,0.224
0.186732,-0.1423,-0.0983,0.0558,0.182
0.191301,-0.0511,-0.1354,0.0067,0.145
0.196600,0.0773,-0.1817,-0.0142,0.198
0.202442,0.2093,-0.2179,-0.0168,0.303
0.206111,0.2595,-0.2535,-0.0152,0.363
0.212310,0.2332,-0.2171,-0.1182,0.340
0.217110,0.2119,-0.2424,-0.1820,0.370
0.221808,0.1243,-0.2436,-0.2302,0.357
0.225746,0.0375,-0.1878,-0.2348,0.303
0.231464,0.0749,-0.1659,-0.2012,0.271
0.236868,0.2117,-0.1917,-0.1534,0.324
0.241415,0.2905,-0.2268,-0.0106,0.369
0.247929,0.2498,-0.2664,0.1457,0.393
0.253477,0.1572,-0.2536,0.2908,0.417
0.259794,0.0938,-0.2412,0.3485,0.434
0.261560,0.0451,-0.1819,0.3767,0.421
0.266413,0.0016,-0.1331,0.3520,0.376
0.272456,-0.0559,-0.1184,0.2656,0.296
0.276530,-0.0844,-0.1135,0.1750,0.225
0.281134,-0.1270,-0.0851,0.0853,0.175
0.286096,-0.1834,-0.0572,0.0061,0.192
0.292175,-0.1823,-0.0533,-0.0574,0.198
0.296448,-0.1954,-0.0589,-0.0770,0.218
0.301671,-0.1466,-0.0929,-0.1811,0.251
0.306567,-0.0460,-0.1548,-0.3407,0.377
0.312032,0.0730,-0.1775,-0.4934,0.529
0.318864,0.1625,-0.2233,-0.5675,0.631
0.321140,0.2324,-0.2156,-0.5069,0.598
0.326166,0.2210,-0.2214,-0.3038,0.436
0.331064,0.1811,-0.1697,-0.0406,0.252
0.336252,0.1416,-0.1086,0.1250,0.218
0.341832,0.1167,-0.1003,0.2033,0.255
0.347988,0.1395,-0.0541,0.2476,0.289
0.352757,0.1667,-0.0273,0.2911,0.337
0.357235,0.1225,-0.0246,0.2580,0.287
0.361959,0.0264,0.0634,0.1630,0.177
0.370914,-0.0262,0.1360,0.1350,0.193
0.374815,-0.0024,0.1507,0.1069,0.185
0.378683,0.0022,0.1840,0.1074,0.213
0.382181,-0.0028,0.1977,0.1031,0.223
0.388205,-0.0220,0.1965,0.1177,0.230
0.392694,-0.0078,0.1808,0.1702,0.248
0.397048,0.0063,0.1270,0.1938,0.232
0.403860,-0.0320,0.0690,0.1793,0.195
0.410277,-0.0700,-0.0216,0.1602,0.176
0.416242,-0.0173,-0.0731,0.0322,0.082
0.416705,0.0397,-0.1095,-0.0846,0.144
0.420768,0.1153,-0.1306,-0.1994,0.265
0.425936,0.1572,-0.1459,-0.3596,0.419
0.432063,0.1560,-0.1175,-0.2894,0.349
0.436948,0.1169,-0.0223,-0.1955,0.229
0.441946,0.0734,0.0912,-0.0400,0.124
0.447539,-0.0078,0.1606,0.1524,0.222
0.452721,-0.0408,0.1815,0.2716,0.329
0.459171,-0.0545,0.1736,0.3464,0.391
0.461380,-0.0777,0.1845,0.3299,0.386
0.468015,-0.1483,0.2667,0.3318,0.451
0.472662,-0.2040,0.3669,0.2523,0.490
0.476849,-0.2499,0.4420,0.1445,0.528
0.481514,-0.2859,0.5162,0.0516,0.592
0.486277,-0.2883,0.5179,-0.0404,0.594
0.492652,-0.2954,0.4954,-0.1077,0.587
0.496880,-0.3073,0.4822,-0.0985,0.580
0.502024,-0.2858,0.4544,-0.1276,0.552
0.510543,-0.2123,0.3933,-0.1849,0.484
0.512172,-0.1108,0.3041,-0.1752,0.368
0.519212,-0.0055,0.1967,-0.1230,0.232
0.521594,0.0277,0.1476,-0.0857,0.173
0.525778,0.0178,0.1181,-0.0253,0.122
0.531372,-0.0063,0.0940,-0.0231,0.097
0.537380,-0.0064,0.0559,-0.0404,0.069
0.541287,-0.0018,0.0515,-0.1240,0.134
0.546467,0.0503,-0.0428,-0.1396,0.154
0.552009,0.1164,-0.0835,-0.0397,0.149
0.559222,0.1013,-0.0660,0.0989,0.156
0.561889,0.0911,0.0138,0.2139,0.233
0.567111,0.0384,0.1126,0.3337,0.354
0.573420,0.0194,0.2012,0.3434,0.398
0.576810,0.0195,0.2653,0.2104,0.339
0.585682,0.0529,0.3002,0.0549,0.310
0.587387,0.0813,0.2871,-0.1278,0.325
0.592579,0.1095,0.2549,-0.2657,0.384
0.597485,0.1422,0.2132,-0.3307,0.418
0.602913,0.1509,0.1860,-0.3185,0.399
0.610375,0.1643,0.1209,-0.1872,0.277
0.616782,0.2156,0.0562,-0.1041,0.246
0.617438,0.2808,-0.0221,-0.0497,0.286
0.621746,0.2647,-0.0331,0.0852,0.280
0.627193,0.2297,-0.0250,0.2520,0.342
0.632104,0.1997,-0.0074,0.3648,0.416
0.636364,0.1367,0.0336,0.3952,0.420
0.645054,0.1026,0.0598,0.4154,0.432
0.647521,0.0831,0.0572,0.4112,0.423
0.651977,0.0447,0.0782,0.3925,0.403
0.656368,0.0066,0.1035,0.3974,0.411
0.661713,-0.0218,0.1235,0.3970,0.416
0.668230,-0.0166,0.1430,0.3677,0.395
0.672700,-0.0116,0.1145,0.3335,0.353
0.677169,-0.0398,0.1051,0.2281,0.254
0.682233,-0.0108,0.0624,0.1476,0.161
0.687090,0.0227,0.0296,0.0444,0.058
0.694099,0.0132,0.0066,-0.0433,0.046
0.697435,0.0276,0.0219,-0.0635,0.073
0.703066,0.1084,0.0134,-0.1927,0.221
0.711728,0.2028,-0.0231,-0.2536,0.325
0.713359,0.2109,-0.0209,-0.1992,0.291
0.716581,0.1525,0.0103,-0.0829,0.174
0.722111,0.0899,0.0415,0.0139,0.100
0.726642,0.0373,0.0915,0.1245,0.159
0.732056,0.0042,0.1172,0.2723,0.297
0.737790,-0.0620,0.2186,0.3947,0.455
0.744971,-0.1181,0.2524,0.4585,0.537
0.749267,-0.1643,0.2715,0.4450,0.547
0.753731,-0.1959,0.2996,0.4023,0.539
0.760556,-0.2226,0.3415,0.3684,0.550
0.763137,-0.2349,0.3637,0.3531,0.559
0.767112,-0.2423,0.3331,0.3279,0.526
0.773142,-0.2355,0.2834,0.3545,0.511
0.778405,-0.2335,0.2387,0.3801,0.506
0.782648,-0.2221,0.2084,0.3620,0.473
0.788037,-0.1966,0.1546,0.3150,0.402
0.793810,-0.1903,0.0773,0.2869,0.353
0.796825,-0.1698,0.0055,0.2349,0.290
0.801550,-0.1163,-0.0940,0.1975,0.248
0.807004,-0.0394,-0.1782,0.1744,0.252
0.815971,0.0653,-0.1660,0.1420,0.228
0.817065,0.1644,-0.1149,0.1574,0.255
0.821612,0.1867,-0.0588,0.1677,0.258
0.826964,0.1185,-0.0073,0.1778,0.214
0.832835,0.0414,0.0343,0.1684,0.177
0.837348,-0.0399,0.0562,0.1204,0.139
0.842086,-0.0445,0.0774,0.0105,0.090
0.848371,-0.0207,0.0458,-0.1177,0.128
0.852254,0.0030,-0.0143,-0.2733,0.274
0.857724,0.0170,-0.0596,-0.4416,0.446
0.862143,0.0214,-0.1328,-0.5510,0.567
0.867445,0.0638,-0.2050,-0.6920,0.725
0.872628,0.1582,-0.2998,-0.7830,0.853
0.877513,0.2520,-0.3218,-0.8243,0.920
0.882515,0.2785,-0.3095,-0.7736,0.879
0.886762,0.2574,-0.3015,-0.6939,0.799
0.893148,0.2888,-0.3074,-0.6043,0.737
0.897520,0.3627,-0.3556,-0.4674,0.690
0.903037,0.3648,-0.3319,-0.3074,0.581
0.910936,0.3336,-0.2844,-0.1012,0.450
0.913662,0.2645,-0.2372,0.1168,0.374
0.918902,0.2055,-0.1812,0.2847,0.395
0.921793,0.1517,-0.0833,0.4125,0.447
0.926871,0.0983,-0.0389,0.4577,0.470
0.933477,0.0026,-0.0001,0.4597,0.460
0.938692,-0.0734,0.0570,0.4237,0.434
0.943089,-0.1249,0.1087,0.3551,0.392
0.948776,-0.1807,0.1883,0.2640,0.371
0.952860,-0.1932,0.2668,0.1698,0.371
0.956916,-0.1486,0.3065,0.0964,0.354
0.963959,-0.1423,0.3125,0.0821,0.353
0.966461,-0.1121,0.2946,0.1073,0.333
0.972718,-0.0822,0.2816,0.1857,0.347
0.978371,-0.0763,0.3064,0.3304,0.457
0.983252,-0.0799,0.3262,0.5409,0.637
0.987619,-0.0834,0.3550,0.8065,0.885
0.993993,-0.1392,0.3596,1.0128,1.084
0.997864,-0.1851,0.3593,1.0794,1.153
1.002690,-0.2306,0.3162,1.0502,1.121
1.010790,-0.2567,0.2405,1.0212,1.080
1.014934,-0.3063,0.1656,0.9687,1.029
1.018666,-0.3793,0.1109,0.9024,0.985
1.021803,-0.4374,0.0524,0.7987,0.912
1.028025,-0.4903,0.0518,0.7382,0.888
1.032346,-0.5475,0.0372,0.6636,0.861
1.038272,-0.5616,0.0606,0.5557,0.792
1.042771,-0.5470,0.0552,0.4578,0.715
1.048159,-0.4756,0.0446,0.4075,0.628
1.054741,-0.3478,0.0198,0.3998,0.530
1.057663,-0.2354,0.0140,0.4007,0.465
1.062863,-0.1857,0.0841,0.3771,0.429
1.067541,-0.1413,0.1057,0.3954,0.433
1.073253,-0.0545,0.0550,0.3602,0.368
1.077440,0.1597,-0.0575,0.3242,0.366
1.083803,0.3437,-0.1076,0.2925,0.464
1.088722,0.4262,-0.1144,0.4122,0.604
1.093982,0.4415,-0.1307,0.6055,0.761
1.097138,0.4328,-0.1045,0.7148,0.842
1.102579,0.4289,-0.1028,0.7363,0.858
1.111068,0.4202,-0.1112,0.7426,0.860
1.114269,0.4163,-0.1107,0.6773,0.803
1.116571,0.4171,-0.1822,0.5649,0.726
1.122377,0.4227,-0.2820,0.4351,0.669
1.129043,0.4521,-0.3430,0.3263,0.655
1.134025,0.4623,-0.4030,0.2245,0.653
1.137593,0.4631,-0.4003,0.1201,0.624
1.142720,0.4686,-0.3684,0.0702,0.600
1.148303,0.4267,-0.2836,0.0502,0.515
1.153344,0.3661,-0.1704,0.0121,0.404
1.158458,0.2871,-0.0626,0.0175,0.294
1.163545,0.1992,0.0441,0.0133,0.204
1.169065,0.1453,0.1304,-0.0147,0.196
1.173527,0.1632,0.1584,0.0145,0.228
1.177884,0.1856,0.1951,0.1478,0.307
1.183865,0.2031,0.2359,0.2608,0.406
1.188825,0.2109,0.2759,0.3490,0.492
1.196626,0.2328,0.3008,0.4311,0.575
1.197388,0.2594,0.2726,0.4743,0.605
1.203511,0.3236,0.2583,0.4878,0.640
1.208219,0.3635,0.1960,0.4908,0.641
1.213906,0.3792,0.1621,0.4784,0.632
1.221076,0.3900,0.1327,0.4650,0.621
1.227625,0.4149,0.1267,0.3794,0.576
1.228472,0.4537,0.1059,0.3322,0.572
1.236975,0.4970,0.0466,0.3187,0.592
1.237438,0.5209,0.0491,0.3576,0.634
1.242517,0.5208,0.0229,0.4059,0.661
1.248094,0.4875,0.0156,0.4349,0.654
1.253647,0.4070,0.0225,0.4448,0.603
1.258579,0.3224,0.0531,0.4409,0.549
1.263742,0.2481,0.0879,0.4424,0.515
1.267987,0.1506,0.0889,0.4495,0.482
1.275787,0.0588,0.1039,0.4430,0.459
1.278554,0.0058,0.1090,0.4895,0.502
1.284592,0.0056,0.0949,0.5078,0.517
1.288472,-0.0041,0.0570,0.4504,0.454
1.294168,-0.0090,0.0096,0.3894,0.390
1.298016,0.0195,-0.0422,0.3107,0.314
1.302813,0.0479,-0.0793,0.2716,0.287
1.311946,0.0475,-0.0590,0.3284,0.337
1.315769,0.0471,0.0086,0.3847,0.388
1.317970,0.0135,0.1320,0.4308,0.451
1.323157,0.0085,0.2677,0.4855,0.554
1.327489,0.0320,0.3202,0.5813,0.664
1.333249,0.1549,0.2949,0.5941,0.681
1.338254,0.3097,0.1642,0.5621,0.663
1.342481,0.4727,0.0389,0.3155,0.570
1.347385,0.5868,-0.0096,0.0848,0.593
1.353560,0.6285,-0.0386,-0.0159,0.630
