time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003277,-0.3348,-0.0865,-0.9270,0.989
0.003734,-0.3086,-0.3292,-0.5882,0.741
0.005672,-0.3251,-0.3887,-0.2034,0.546
0.014649,-0.1133,-0.4522,0.0788,0.473
0.015942,0.0682,-0.4719,0.2256,0.528
0.021012,0.0819,-0.3915,0.2568,0.475
0.026361,0.0859,-0.3021,0.1877,0.366
0.032454,0.1563,-0.2564,0.1189,0.323
0.037818,0.2166,-0.2062,0.0411,0.302
0.042031,0.2100,-0.1422,-0.0591,0.260
0.046314,0.1704,-0.1213,-0.1244,0.243
0.054917,0.1741,-0.1191,-0.1077,0.237
0.056270,0.1777,-0.1024,-0.0863,0.222
0.064328,0.1386,-0.0286,-0.0457,0.149
0.067290,0.0999,0.0162,-0.0767,0.127
0.075352,0.1279,0.0321,-0.1170,0.176
0.075814,0.1510,0.0383,-0.1568,0.221
0.080954,0.1550,0.0446,-0.1341,0.210
0.085945,0.1638,0.0037,-0.1064,0.195
0.092051,0.1061,-0.0367,-0.0406,0.119
0.096092,0.0774,-0.0432,0.0294,0.093
0.101395,0.0441,-0.0115,0.0463,0.065
0.106696,0.0443,-0.0181,0.0771,0.091
0.115999,0.0635,-0.0911,0.1409,0.179
0.116582,0.0302,-0.1347,0.2228,0.262
0.124924,0.0066,-0.0782,0.2606,0.272
0.126716,0.0448,-0.0035,0.2119,0.217
0.133105,0.0683,0.0132,0.1251,0.143
0.135724,0.0821,0.0578,0.1007,0.142
0.141417,0.1052,0.0400,0.1526,0.190
0.150751,0.1044,0.0080,0.1990,0.225
0.152335,0.0940,-0.0283,0.2020,0.225
0.157371,0.0361,-0.0549,0.1854,0.197
0.170706,-0.0262,-0.0955,0.1495,0.179
0.171250,-0.0595,-0.1450,0.0752,0.174
0.176327,-0.0405,-0.1797,0.0056,0.184
0.176714,0.0352,-0.2282,-0.0642,0.240
0.181066,0.1054,-0.2194,-0.1766,0.301
0.186962,0.1038,-0.1917,-0.2501,0.332
0.193780,0.0785,-0.1740,-0.2753,0.335
0.197873,0.0866,-0.1661,-0.3048,0.358
0.201995,0.1282,-0.1348,-0.2716,0.329
0.207416,0.2264,-0.0899,-0.2239,0.331
0.212646,0.2764,-0.0363,-0.1244,0.305
0.216502,0.2641,0.0165,-0.0734,0.275
0.222402,0.2281,0.0496,-0.0753,0.245
0.226896,0.2019,0.0635,-0.0820,0.227
0.232983,0.1903,0.0394,-0.0600,0.203
0.236704,0.1170,0.0204,-0.0046,0.119
0.242131,-0.0174,0.0732,0.0223,0.078
0.247319,-0.0792,0.0640,0.0447,0.111
0.259209,-0.1024,0.0554,0.0580,0.130
0.259707,-0.2204,0.0663,-0.0187,0.231
0.262302,-0.3373,0.1111,-0.0041,0.355
0.270697,-0.3202,0.0941,0.1339,0.360
0.276407,-0.3365,0.1011,0.2563,0.435
0.276941,-0.4004,0.1459,0.3151,0.530
0.281573,-0.3831,0.1280,0.3536,0.537
0.286257,-0.2901,0.1053,0.3529,0.469
0.292523,-0.1649,0.0825,0.3040,0.355
0.296807,-0.0123,0.0643,0.2833,0.291
0.304454,0.1295,0.0932,0.2007,0.256
0.307694,0.2273,0.0883,0.0949,0.262
0.312816,0.3813,0.0402,-0.0002,0.383
0.317130,0.4962,0.0211,-0.0322,0.498
0.321400,0.4867,0.0831,-0.1106,0.506
0.326219,0.4871,0.1211,-0.1779,0.532
0.333286,0.4450,0.1209,-0.1480,0.484
0.339883,0.3703,0.1068,-0.0456,0.388
0.340916,0.2918,0.0742,0.1142,0.322
0.350468,0.2949,0.1089,0.1931,0.369
0.351524,0.2317,0.1865,0.3578,0.465
0.356104,0.0836,0.2257,0.4788,0.536
0.361361,-0.0205,0.2501,0.5515,0.606
0.366122,-0.1332,0.2931,0.5526,0.639
0.371666,-0.1450,0.3164,0.4114,0.539
0.376014,-0.1044,0.3581,0.3480,0.510
0.381243,-0.0878,0.3042,0.3714,0.488
0.385816,-0.0713,0.1699,0.4659,0.501
0.391551,-0.1214,0.0275,0.4458,0.463
0.395719,-0.1758,-0.1514,0.4736,0.527
0.401809,-0.2820,-0.2187,0.5151,0.627
0.406106,-0.3827,-0.2610,0.6271,0.780
0.411138,-0.3070,-0.3452,0.7752,0.902
0.416449,-0.2130,-0.3095,0.7220,0.814
0.421696,-0.1102,-0.2128,0.5464,0.597
0.426612,0.0158,-0.2834,0.3976,0.489
0.431756,0.0557,-0.4246,0.4754,0.640
0.436137,-0.0091,-0.5689,0.6627,0.874
0.441991,-0.0923,-0.5874,0.6872,0.909
0.446536,-0.1177,-0.5521,0.6119,0.833
0.452263,-0.0860,-0.4684,0.5373,0.718
0.458226,-0.0024,-0.4081,0.4534,0.610
0.464193,0.0615,-0.3802,0.4034,0.558
0.466294,0.1486,-0.3230,0.3636,0.509
0.472164,0.2256,-0.1990,0.4341,0.528
0.476689,0.2971,-0.1799,0.5653,0.664
0.481409,0.3108,-0.1038,0.6237,0.705
0.487071,0.3100,-0.0044,0.6665,0.735
0.492868,0.2473,0.2556,0.4091,0.542
0.496659,0.1810,0.6875,-0.1851,0.735
0.502444,0.4242,0.2115,0.6328,0.791
0.506634,0.4647,-0.3736,1.3381,1.465
0.513321,0.0294,0.1484,0.6440,0.662
0.517466,-0.0887,0.0853,0.7063,0.717
0.522626,0.0171,-0.1392,0.5950,0.611
0.527116,-0.0297,0.0697,0.1155,0.138
0.533794,-0.0283,-0.0561,0.0974,0.116
0.536757,-0.0413,-0.1523,0.0366,0.162
0.543035,-0.1062,-0.0149,-0.0939,0.143
0.547048,-0.0469,0.0217,-0.0563,0.076
0.560074,0.0025,0.2998,-0.1844,0.352
0.561047,0.1040,0.2990,-0.4199,0.526
0.561864,0.1954,0.1745,-0.4141,0.490
0.566293,0.2103,0.2604,-0.1982,0.389
0.573211,0.2061,0.4261,0.0214,0.474
0.580358,0.2495,0.5043,0.2582,0.619
0.582433,0.3638,0.4053,0.4218,0.689
0.587723,0.4011,0.2315,0.5224,0.698
